Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
ff41e2bb-b04f-ac63-5de4-7cae5322bea1,2013-01-15,,999-52-3158,,,,Blake449,Cummings51,,,,white,nonhispanic,F,Brockton  Massachusetts  US,745 Haley Estate,Springfield,Massachusetts,Hampden County,25013,01151,42.152087392876126,-72.55843319426326,5392.00,16388.29,88703
44405854-19f0-5c65-89af-d2ba90d38b03,2006-12-01,,999-23-7686,S99942425,,,Emmett200,Ankunding277,,,,white,hispanic,M,Paxton  Massachusetts  US,985 Stracke Vale,Springfield,Massachusetts,Hampden County,25013,01199,42.118968946088614,-72.50115966788324,4655.83,621369.89,22890
92eab8e7-427a-7fc0-a3be-73fe7fad7b77,1999-09-01,,999-39-6367,S99949147,X9303592X,Mr.,Jackie93,Hills818,,,,black,nonhispanic,M,Stoneham  Massachusetts  US,1000 Zboncak Vista,Maynard,Massachusetts,Middlesex County,25017,01754,42.411008562840365,-71.4115604902164,4357.82,38946.45,15353
e87b9d92-d171-b001-24ae-c57e1b6f36a8,1983-05-18,,999-64-1237,S99979199,X73602277X,Mrs.,Eve68,Eichmann909,,Brown30,M,white,nonhispanic,F,Raynham  Massachusetts  US,186 Schuppe Vista,Brookline,Massachusetts,Norfolk County,25021,02445,42.311081712865196,-71.10069922369237,254758.83,444997.02,34588
7a90563d-7f51-efb1-d916-80ef05c8c073,1979-09-15,,999-51-2477,S99924439,X74860900X,Mrs.,Dorathy429,Rohan584,,Braun514,M,white,nonhispanic,F,Winchester  Massachusetts  US,701 Cummerata Gateway,Weymouth,Massachusetts,Norfolk County,25021,02189,42.20402373460845,-70.91443672465896,51135.90,942144.44,150882
05a7646d-289d-7528-c688-40631c2fc0e1,2005-10-22,,999-43-5330,S99984270,,,Jerald662,Dach178,,,,white,nonhispanic,M,Billerica  Massachusetts  US,576 Daniel Frontage road Apt 34,Lawrence,Massachusetts,Essex County,25009,01841,42.72777930408654,-71.21116254274888,16983.64,15640.44,20061
d9d4d6e4-cfc6-d23b-5493-272a751afefe,2019-12-24,,999-28-9963,,,,Jesica465,Okuneva707,,,,native,hispanic,F,Westfield  Massachusetts  US,215 Bosco Grove Unit 11,Andover,Massachusetts,Essex County,25009,01810,42.678507117264424,-71.16851200817847,5202.00,4437.96,117251
98be12f7-d804-4e8e-39a1-73a428402cb2,1976-04-23,,999-29-8543,S99987370,X81912774X,Mr.,Augustus49,Jakubowski832,,,D,white,nonhispanic,M,Middleborough Center  Massachusetts  US,166 O'Connell Crossing Apt 18,Manchester-by-the-Sea,Massachusetts,Essex County,,00000,42.519521853884356,-70.73485928382345,34998.25,64821.08,55905
cfb6ad2c-d58b-58b0-0868-e78af7bb5b47,2005-06-18,,999-99-8652,S99910718,,,Keith571,Cummings51,,,,white,nonhispanic,F,Reading  Massachusetts  US,108 Raynor Landing,Sandwich,Massachusetts,Barnstable County,25001,02563,41.71676479503062,-70.48558757661708,19256.44,7917.34,135665
f4925949-ca9f-7378-2158-f085453485c6,1954-07-12,,999-92-8566,S99930051,X8765629X,Mrs.,Libby988,Connelly992,,Cremin516,M,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,147 White Throughway,Tyngsborough,Massachusetts,Middlesex County,,00000,42.65644173162654,-71.40602006890563,77132.83,439518.80,61068
